2020-06-03 23:16:45,497[line:2] - INFO: --------------------------------------------------------------
2020-06-03 23:16:45,498[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 16, experimentTimes: 0
2020-06-03 23:16:45,505[line:15] - INFO: DataLoader have been created!
2020-06-03 23:16:49,217[line:18] - INFO: Network have been established.
2020-06-03 23:16:49,221[line:24] - INFO: Train begining.
2020-06-03 23:30:21,528[line:3] - INFO: 180: (train) acc:50.0%, loss:1.9589133262634277
2020-06-03 23:30:21,535[line:45] - INFO: Evaluating!
2020-06-03 23:31:53,154[line:16] - INFO: Evaluationg, 16
2020-06-03 23:31:53,472[line:16] - INFO: Evaluationg, 32
2020-06-03 23:31:53,793[line:16] - INFO: Evaluationg, 48
2020-06-03 23:31:54,073[line:16] - INFO: Evaluationg, 64
2020-06-03 23:31:54,345[line:16] - INFO: Evaluationg, 80
2020-06-03 23:31:54,623[line:16] - INFO: Evaluationg, 96
2020-06-03 23:31:54,892[line:16] - INFO: Evaluationg, 112
2020-06-03 23:31:55,170[line:16] - INFO: Evaluationg, 128
2020-06-03 23:32:41,696[line:16] - INFO: Evaluationg, 144
2020-06-03 23:32:41,968[line:16] - INFO: Evaluationg, 160
2020-06-03 23:32:42,057[line:16] - INFO: Evaluationg, 165
2020-06-03 23:32:42,133[line:3] - INFO: 180: (eval) acc:56.36363636363636%, loss:0.07686062581611403
2020-06-03 23:32:48,276[line:3] - INFO: 185: (train) acc:62.5%, loss:0.8015700578689575
2020-06-03 23:32:54,265[line:3] - INFO: 190: (train) acc:75.0%, loss:0.7078704833984375
2020-06-03 23:33:00,293[line:3] - INFO: 195: (train) acc:68.75%, loss:1.0257983207702637
2020-06-03 23:33:06,349[line:3] - INFO: 200: (train) acc:62.5%, loss:1.141262412071228
2020-06-03 23:33:12,556[line:3] - INFO: 205: (train) acc:56.25%, loss:1.120986819267273
2020-06-03 23:33:18,619[line:3] - INFO: 210: (train) acc:56.25%, loss:1.2076513767242432
2020-06-03 23:33:18,623[line:45] - INFO: Evaluating!
2020-06-03 23:34:30,246[line:16] - INFO: Evaluationg, 16
2020-06-03 23:34:30,524[line:16] - INFO: Evaluationg, 32
2020-06-03 23:34:30,853[line:16] - INFO: Evaluationg, 48
2020-06-03 23:34:31,123[line:16] - INFO: Evaluationg, 64
2020-06-03 23:34:40,614[line:16] - INFO: Evaluationg, 80
2020-06-03 23:34:40,897[line:16] - INFO: Evaluationg, 96
2020-06-03 23:34:41,189[line:16] - INFO: Evaluationg, 112
2020-06-03 23:34:41,476[line:16] - INFO: Evaluationg, 128
2020-06-03 23:35:06,242[line:16] - INFO: Evaluationg, 144
2020-06-03 23:35:06,508[line:16] - INFO: Evaluationg, 160
2020-06-03 23:35:06,596[line:16] - INFO: Evaluationg, 165
2020-06-03 23:35:06,675[line:3] - INFO: 210: (eval) acc:57.57575757575758%, loss:0.07103734197038593
2020-06-03 23:35:12,937[line:3] - INFO: 215: (train) acc:56.25%, loss:0.8279389142990112
2020-06-03 23:35:18,988[line:3] - INFO: 220: (train) acc:68.75%, loss:0.8036324381828308
2020-06-03 23:35:25,041[line:3] - INFO: 225: (train) acc:75.0%, loss:0.725945770740509
2020-06-03 23:35:31,102[line:3] - INFO: 230: (train) acc:75.0%, loss:0.8400267362594604
2020-06-03 23:35:37,232[line:3] - INFO: 235: (train) acc:62.5%, loss:0.9523681402206421
2020-06-03 23:35:43,424[line:3] - INFO: 240: (train) acc:50.0%, loss:0.967391312122345
2020-06-03 23:35:43,431[line:45] - INFO: Evaluating!
2020-06-03 23:37:06,774[line:16] - INFO: Evaluationg, 16
2020-06-03 23:37:07,073[line:16] - INFO: Evaluationg, 32
2020-06-03 23:37:07,342[line:16] - INFO: Evaluationg, 48
2020-06-03 23:37:07,611[line:16] - INFO: Evaluationg, 64
2020-06-03 23:37:07,893[line:16] - INFO: Evaluationg, 80
2020-06-03 23:37:08,163[line:16] - INFO: Evaluationg, 96
2020-06-03 23:37:08,432[line:16] - INFO: Evaluationg, 112
2020-06-03 23:37:08,699[line:16] - INFO: Evaluationg, 128
2020-06-03 23:37:40,031[line:16] - INFO: Evaluationg, 144
2020-06-03 23:37:40,307[line:16] - INFO: Evaluationg, 160
2020-06-03 23:37:40,399[line:16] - INFO: Evaluationg, 165
2020-06-03 23:37:40,488[line:3] - INFO: 240: (eval) acc:52.72727272727272%, loss:0.09167679728883686
2020-06-03 23:37:46,436[line:3] - INFO: 245: (train) acc:75.0%, loss:0.7120002508163452
2020-06-03 23:37:52,444[line:3] - INFO: 250: (train) acc:56.25%, loss:1.182065486907959
2020-06-03 23:37:58,472[line:3] - INFO: 255: (train) acc:75.0%, loss:0.6067567467689514
2020-06-03 23:38:04,513[line:3] - INFO: 260: (train) acc:50.0%, loss:1.2381982803344727
2020-06-03 23:38:10,560[line:3] - INFO: 265: (train) acc:68.75%, loss:0.9177704453468323
2020-06-03 23:38:16,652[line:3] - INFO: 270: (train) acc:62.5%, loss:0.9790510535240173
2020-06-03 23:38:16,660[line:45] - INFO: Evaluating!
2020-06-03 23:39:25,511[line:16] - INFO: Evaluationg, 16
2020-06-03 23:39:25,792[line:16] - INFO: Evaluationg, 32
2020-06-03 23:39:29,111[line:16] - INFO: Evaluationg, 48
2020-06-03 23:39:29,397[line:16] - INFO: Evaluationg, 64
2020-06-03 23:39:29,660[line:16] - INFO: Evaluationg, 80
2020-06-03 23:39:29,933[line:16] - INFO: Evaluationg, 96
2020-06-03 23:39:30,210[line:16] - INFO: Evaluationg, 112
2020-06-03 23:39:30,493[line:16] - INFO: Evaluationg, 128
2020-06-03 23:39:52,874[line:16] - INFO: Evaluationg, 144
2020-06-03 23:39:53,126[line:16] - INFO: Evaluationg, 160
2020-06-03 23:39:53,214[line:16] - INFO: Evaluationg, 165
2020-06-03 23:39:53,299[line:3] - INFO: 270: (eval) acc:71.51515151515152%, loss:0.05860329830285275
2020-06-03 23:39:59,457[line:3] - INFO: 275: (train) acc:68.75%, loss:0.6891989707946777
2020-06-03 23:40:05,472[line:3] - INFO: 280: (train) acc:81.25%, loss:0.7479004859924316
2020-06-03 23:40:11,515[line:3] - INFO: 285: (train) acc:68.75%, loss:0.7934849262237549
2020-06-03 23:40:17,622[line:3] - INFO: 290: (train) acc:81.25%, loss:0.6281521320343018
2020-06-03 23:40:23,829[line:3] - INFO: 295: (train) acc:68.75%, loss:0.9104694724082947
2020-06-03 23:40:29,882[line:3] - INFO: 300: (train) acc:81.25%, loss:0.724571943283081
2020-06-03 23:40:29,887[line:45] - INFO: Evaluating!
2020-06-03 23:41:17,731[line:16] - INFO: Evaluationg, 16
2020-06-03 23:41:18,028[line:16] - INFO: Evaluationg, 32
2020-06-03 23:41:18,463[line:16] - INFO: Evaluationg, 48
2020-06-03 23:41:22,878[line:16] - INFO: Evaluationg, 64
2020-06-03 23:41:23,147[line:16] - INFO: Evaluationg, 80
2020-06-03 23:41:23,424[line:16] - INFO: Evaluationg, 96
2020-06-03 23:41:23,693[line:16] - INFO: Evaluationg, 112
2020-06-03 23:41:23,956[line:16] - INFO: Evaluationg, 128
2020-06-03 23:41:46,375[line:16] - INFO: Evaluationg, 144
2020-06-03 23:41:46,644[line:16] - INFO: Evaluationg, 160
2020-06-03 23:41:46,733[line:16] - INFO: Evaluationg, 165
2020-06-03 23:41:46,802[line:3] - INFO: 300: (eval) acc:70.3030303030303%, loss:0.05403560436133183
2020-06-03 23:41:53,030[line:3] - INFO: 305: (train) acc:75.0%, loss:0.7494912147521973
2020-06-03 23:41:59,009[line:3] - INFO: 310: (train) acc:75.0%, loss:0.6392568349838257
2020-06-03 23:42:05,002[line:3] - INFO: 315: (train) acc:75.0%, loss:0.676363468170166
2020-06-03 23:42:11,019[line:3] - INFO: 320: (train) acc:68.75%, loss:0.6876333355903625
2020-06-03 23:42:17,052[line:3] - INFO: 325: (train) acc:56.25%, loss:0.8996859192848206
2020-06-03 23:42:23,121[line:3] - INFO: 330: (train) acc:75.0%, loss:0.6663603782653809
2020-06-03 23:42:23,123[line:45] - INFO: Evaluating!
2020-06-03 23:43:10,585[line:16] - INFO: Evaluationg, 16
2020-06-03 23:43:12,076[line:16] - INFO: Evaluationg, 32
2020-06-03 23:43:12,358[line:16] - INFO: Evaluationg, 48
2020-06-03 23:43:12,613[line:16] - INFO: Evaluationg, 64
2020-06-03 23:43:12,876[line:16] - INFO: Evaluationg, 80
2020-06-03 23:43:13,140[line:16] - INFO: Evaluationg, 96
2020-06-03 23:43:13,400[line:16] - INFO: Evaluationg, 112
2020-06-03 23:43:13,656[line:16] - INFO: Evaluationg, 128
2020-06-03 23:43:37,679[line:16] - INFO: Evaluationg, 144
2020-06-03 23:43:38,632[line:16] - INFO: Evaluationg, 160
2020-06-03 23:43:38,718[line:16] - INFO: Evaluationg, 165
2020-06-03 23:43:38,829[line:3] - INFO: 330: (eval) acc:61.81818181818181%, loss:0.0677466226346565
2020-06-03 23:44:40,139[line:3] - INFO: 335: (train) acc:81.25%, loss:0.5615400075912476
2020-06-03 23:44:46,274[line:3] - INFO: 340: (train) acc:68.75%, loss:1.2548301219940186
2020-06-03 23:44:52,364[line:3] - INFO: 345: (train) acc:81.25%, loss:0.6718460321426392
2020-06-03 23:45:30,883[line:3] - INFO: 350: (train) acc:81.25%, loss:0.44959425926208496
2020-06-03 23:45:36,890[line:3] - INFO: 355: (train) acc:75.0%, loss:0.6704387664794922
2020-06-03 23:45:42,943[line:3] - INFO: 360: (train) acc:93.75%, loss:0.40314605832099915
2020-06-03 23:45:42,947[line:45] - INFO: Evaluating!
2020-06-03 23:46:44,905[line:16] - INFO: Evaluationg, 16
2020-06-03 23:46:45,207[line:16] - INFO: Evaluationg, 32
2020-06-03 23:46:47,725[line:16] - INFO: Evaluationg, 48
2020-06-03 23:46:48,023[line:16] - INFO: Evaluationg, 64
2020-06-03 23:46:48,299[line:16] - INFO: Evaluationg, 80
2020-06-03 23:46:48,572[line:16] - INFO: Evaluationg, 96
2020-06-03 23:46:48,843[line:16] - INFO: Evaluationg, 112
2020-06-03 23:46:49,114[line:16] - INFO: Evaluationg, 128
2020-06-03 23:47:33,866[line:16] - INFO: Evaluationg, 144
2020-06-03 23:47:34,155[line:16] - INFO: Evaluationg, 160
2020-06-03 23:47:34,246[line:16] - INFO: Evaluationg, 165
2020-06-03 23:47:34,329[line:3] - INFO: 360: (eval) acc:75.75757575757575%, loss:0.04758850751501141
