2020-06-04 18:41:30,659[line:2] - INFO: --------------------------------------------------------------
2020-06-04 18:41:30,661[line:4] - INFO: Network loading, learningRate: 0.0001, BatchSize: 12, experimentTimes: 0
2020-06-04 18:41:30,668[line:15] - INFO: DataLoader have been created!
2020-06-04 18:41:34,023[line:18] - INFO: Network have been established.
2020-06-04 18:41:34,029[line:24] - INFO: Train begining.
2020-06-04 19:21:22,975[line:17] - INFO: Evaluationg, 165
2020-06-04 19:21:23,106[line:3] - INFO: 500: (eval) acc:70.9090909090909%, loss:0.07548187691153901
2020-06-04 19:21:30,788[line:3] - INFO: 505: (train) acc:66.66666666666666%, loss:0.6642370820045471
2020-06-04 19:21:38,028[line:3] - INFO: 510: (train) acc:91.66666666666666%, loss:0.29008302092552185
2020-06-04 19:21:45,345[line:3] - INFO: 515: (train) acc:50.0%, loss:1.1933139562606812
2020-06-04 19:21:52,873[line:3] - INFO: 520: (train) acc:58.333333333333336%, loss:1.0974615812301636
2020-06-04 19:22:00,539[line:3] - INFO: 525: (train) acc:83.33333333333334%, loss:0.7680253386497498
2020-06-04 19:22:08,533[line:3] - INFO: 530: (train) acc:75.0%, loss:0.7296859622001648
2020-06-04 19:22:16,507[line:3] - INFO: 535: (train) acc:66.66666666666666%, loss:1.1702550649642944
2020-06-04 19:22:24,383[line:3] - INFO: 540: (train) acc:58.333333333333336%, loss:0.9390237331390381
2020-06-04 19:22:32,170[line:3] - INFO: 545: (train) acc:83.33333333333334%, loss:0.7459053993225098
2020-06-04 19:22:39,823[line:3] - INFO: 550: (train) acc:83.33333333333334%, loss:0.9184446334838867
2020-06-04 19:22:39,848[line:45] - INFO: Evaluating!
2020-06-04 19:24:49,901[line:17] - INFO: Evaluationg, 12
2020-06-04 19:24:52,778[line:17] - INFO: Evaluationg, 24
2020-06-04 19:24:53,047[line:17] - INFO: Evaluationg, 36
2020-06-04 19:24:53,280[line:17] - INFO: Evaluationg, 48
2020-06-04 19:24:53,483[line:17] - INFO: Evaluationg, 60
2020-06-04 19:24:54,018[line:17] - INFO: Evaluationg, 72
2020-06-04 19:24:54,272[line:17] - INFO: Evaluationg, 84
2020-06-04 19:24:54,468[line:17] - INFO: Evaluationg, 96
2020-06-04 19:25:23,880[line:17] - INFO: Evaluationg, 108
2020-06-04 19:25:28,386[line:17] - INFO: Evaluationg, 120
2020-06-04 19:25:28,544[line:17] - INFO: Evaluationg, 132
2020-06-04 19:25:28,712[line:17] - INFO: Evaluationg, 144
2020-06-04 19:25:28,879[line:17] - INFO: Evaluationg, 156
2020-06-04 19:25:29,008[line:17] - INFO: Evaluationg, 165
2020-06-04 19:25:29,105[line:3] - INFO: 550: (eval) acc:80.60606060606061%, loss:0.057867774457642525
2020-06-04 19:25:36,437[line:3] - INFO: 555: (train) acc:58.333333333333336%, loss:1.0050188302993774
2020-06-04 19:25:43,667[line:3] - INFO: 560: (train) acc:100.0%, loss:0.33963918685913086
2020-06-04 19:25:51,034[line:3] - INFO: 565: (train) acc:66.66666666666666%, loss:0.6916098594665527
2020-06-04 19:25:58,685[line:3] - INFO: 570: (train) acc:83.33333333333334%, loss:0.4896293878555298
